strain_id,strain_name,temperature,size,control_size,log2_ratio,z
TS-1N7,pup1-1,23,0.44933937470922825,0.6198964166241594,-0.46413335481726914,-1.0371667443815664
TS-3O15,qri1-ts6,27,0.6034379324254622,0.8176012469567971,-0.43812939303166093,-1.0346795086984055
TS-1C14,pik1-104,23,0.929153747972342,1.2802875832909753,-0.46243608430549726,-1.0329648294848572
TS-2D22,taf8-7,30,0.44075777235526487,0.6892031541903095,-0.6448253222207667,-1.0319142140278144
TS-1E22,cdc7-4,27,0.827440446304422,1.116940563244556,-0.43277984461395014,-1.0184142317477973
TS-3C7,tfc6-m1,30,0.41396351450769675,0.643282735701894,-0.6358251395173081,-1.0139869544240303
TS-3D21,act1-119,27,0.8070412736574153,1.0881615036732926,-0.4311321553561316,-1.0134044402636726
TS-2M3,mcm10-43,27,0.7944702510070129,1.0707828784875437,-0.43055401790248365,-1.0116466160391138
TS-1M13,cdc10-2,23,0.6596636433330485,0.9023804167251196,-0.45194634720939525,-1.0069954968057317
TS-1N10,pol12-ts,27,0.7852397960491017,1.057208878373081,-0.429007991263448,-1.0069459292720437
TS-2J7,nop2-6,27,0.559024890086659,0.7524303366161044,-0.42857917251923117,-1.005642107885325
TS-3N10,pol12-ts,30,0.48036407606044823,0.744070587520654,-0.6312048049398266,-1.0047838148705384
TS-2O13,sfi1-3,23,0.8481124833983288,1.1590230508588453,-0.4505361081531203,-1.003504182688516
TS-2D13,pol5-1,27,0.8426344715109484,1.1332182058428812,-0.42740294471225937,-1.0020657927380383
TS-1C18,prp5-1,30,0.5676140159967126,0.8783434311082414,-0.6297850243682716,-1.001955786182088
TS-1O12,rpt6-25,23,0.7398097922705236,1.0103333829807946,-0.44955291195112357,-1.0010700941098811
TS-2K6,tsc10-1,23,0.792244037726935,1.0818647532598096,-0.4494546086379496,-1.0008267256231511
TS-1E11,cdc12-1,27,0.7532730187500363,1.0117320898204423,-0.42553362869613387,-0.9963821461315647
TS-1N10,pol12-ts,30,0.6503324433347226,1.004237528376859,-0.6267730728277082,-0.9959563482861277
TS-2L8,hyp2-1,23,0.9190713292061016,1.2520841417170812,-0.4460410321875738,-0.99237577002214
TS-3E17,cft2-1,33,0.8000796867636267,1.1685542088564784,-0.5464522061526965,-0.9921889340284431
TS-3F21,okp1-5,23,0.48561874250963555,0.6615429536522416,-0.44593173990889917,-0.9921051962681785
TS-3G19,mob2-36,27,0.834664071743959,1.1190663042326865,-0.42298401839111605,-0.988630067920637
TS-1F16,erg8-1,30,0.8042683922538415,1.238346740342263,-0.6226035295139396,-0.987651129616908
TS-3J6,spt16-ts,27,0.8894494425977575,1.1912883238130023,-0.4214970249889297,-0.9841088714341796
TS-2I18,pkc1-1,23,0.7005284734247208,0.952056708600385,-0.4425494156207672,-0.98373161131915
TS-1I23,sec12-4,27,0.8489175345873173,1.1354860545202743,-0.419570782487688,-0.9782521401158871
TS-1O20,rpt1-1,27,0.7740734317822828,1.0352728062919334,-0.41942162898914326,-0.9777986396009745
TS-4L4,mob2-19,30,0.5917620691933982,0.9080067480707141,-0.6176008950796514,-0.9776864956576606
TS-5M21,brl1-k405i,27,0.6126876370325375,0.8192255531129926,-0.4190496190387483,-0.9766675450862445
TS-2D19,prp16-2,27,0.9299351095145936,1.241774966332374,-0.41716284319477226,-0.9709308119548298
