strain_id,strain_name,size,control_size,log2_ratio,z
rec415,kin3,0.41753281615088106,0.8496076375036036,-1.0249071440226223,-1.4335029410539322
rec6067,ung1,0.60234682297795,1.223287858544159,-1.0220976170528286,-1.4280249038123716
rec2485,wtm2,0.4606008101140287,0.9345796402486416,-1.0208006599613932,-1.4254960869246978
rec1630,yor333c,0.7105014163549865,1.4391796190806785,-1.0183372306077378,-1.420692873470488
rec5568,ypr153w,0.7356885296426123,1.484653655931817,-1.012959411307125,-1.4102071601372914
rec3174,sco1,0.3813633228261978,0.7693368941334777,-1.0124493947316493,-1.4092127259053702
rec3084,shp1,0.12422387297220215,0.25047684165970685,-1.011734769295339,-1.4078193437467492
rec871,ngl2,0.46618944985463884,0.9396737973475862,-1.0112436641688953,-1.406861783203247
rec6854,yjr056c,0.42159742426111857,0.8493615463523279,-1.0105127412849855,-1.405436624156256
rec3187,reg2,0.6446882050942936,1.2974889641532428,-1.0090487737467013,-1.402582169017943
rec6498,tsl1,0.5204733089642782,1.0470912203184397,-1.0084910463049515,-1.4014947077729027
rec926,yhl037c,0.5170031850100126,1.0400361893121524,-1.0083886561155528,-1.4012950665960333
rec1118,pfa3,0.6083699273395277,1.2234867432745402,-1.0079777243059127,-1.4004938286007576
rec3468,mrc1,0.4997772295249966,1.0034406545971777,-1.0055982184287102,-1.3958542497848316
rec265,rip1,0.4486027433734401,0.899965098368791,-1.0044306101644238,-1.3935776382327507
rec1813,cyc2,0.49450870555235166,0.9918659640137233,-1.0041492558723315,-1.3930290514753623
rec1080,pus1,0.6341472303626714,1.2703097127322607,-1.0022905458973506,-1.3894049245053501
rec4801,msm1,0.5381719929703046,1.075014043433161,-0.998216287871772,-1.3814609049476785
rec3926,ssb1,0.49377766816964663,0.9837814994384528,-0.9944763347043716,-1.3741687155674083
rec220,aim9,0.35854978267472765,0.7128861773643089,-0.9914983046882517,-1.3683621297932955
rec3576,rad9,0.5384279491315794,1.070229358600985,-0.9910948051714061,-1.3675753833395343
rec2940,eaf7,0.45370783921354557,0.9012911154505165,-0.9902295823348166,-1.3658883652144034
