from,to,any_sig,EMAP_diff
arp8,dbf2,FALSE,-7.39732730974192e-4
arp8,dcc1,FALSE,-2.890256817282217e-4
arp8,ddc1,FALSE,0.15553518613313924
arp8,def1,FALSE,0.0022410092602795357
arp8,dia2,FALSE,0.0015629039076361906
arp8,erg2,FALSE,0.003101720657119605
arp8,esc2,FALSE,2.9122007696385447e-4
arp8,exo1,FALSE,3.2251473962681887e-6
arp8,gpx2,FALSE,-6.558365196970116e-4
arp8,hpc2,FALSE,-5.984953359863194e-4
arp8,hrq1,FALSE,8.099206077907354e-4
arp8,ina1,FALSE,-5.11011519254332e-4
arp8,irc21,FALSE,-7.115289834418153e-4
arp8,mlh1,FALSE,-6.203106200607475e-4
arp8,mlh3,FALSE,0.006562476804773745
arp8,mms1,FALSE,-5.041399382398923e-4
arp8,mms2,FALSE,-5.573160125958669e-4
arp8,mms22,FALSE,4.380857384255496e-5
arp8,mph1,FALSE,0.001296376668880322
arp8,mre11,FALSE,-5.8565450220543036e-5
arp8,mus81,FALSE,-4.4545893722164304e-4
arp8,nup84,FALSE,-7.39732730974192e-4
arp8,pif1,FALSE,-5.735630329895436e-5
arp8,pol30-RR,FALSE,-7.003825028540909e-4
arp8,pol32,FALSE,-6.087890922532927e-4
arp8,pso2,FALSE,0.00387992314750726
arp8,psy2,FALSE,-1.5250906955495695e-4
arp8,psy4,FALSE,-1.8796603385777457e-4
arp8,rad1,FALSE,-3.2980720798325046e-4
arp8,rad10,FALSE,0.0019904495638857116
arp8,rad14,FALSE,9.450024818491331e-4
arp8,rad18,FALSE,0.0032437121868960452
arp8,rad2,FALSE,0.001609530839844353
arp8,rad23,FALSE,-5.667643299870919e-4
arp8,rad27,FALSE,-6.609087341563569e-4
arp8,rad28,FALSE,-6.385897482320517e-4
arp8,rad4,FALSE,-5.240545144661515e-4
arp8,rad5,FALSE,-5.486551287629646e-4
arp8,rad50,FALSE,-6.032588698394886e-4
arp8,rad51,FALSE,1.9451500409045825e-4
arp8,rad52,FALSE,-5.385640224232762e-4
arp8,rad54,FALSE,7.916645921411561e-5
arp8,rad55,FALSE,-5.62111144765046e-4
arp8,rad57,FALSE,-6.285407127865155e-4
arp8,rad6,FALSE,-7.39732730974192e-4
